url	name	album	collection	number	type	rarity	release_date	energy	power	ppe	ability_name	ability_description	tags
https://cuecards.fandom.com/wiki/(3834)_Zappafrank	(3834) Zappafrank	Space	The Solar System	SSS035	Standard	Epic	10 Nov 2022	3	38	12.67	Peaches en Regalia	(Draw)If your deck contains Peach Melba, yourCurious Cuisinecards in hand cost -1 Energy until played.	
https://cuecards.fandom.com/wiki/Albert_Einstein	Albert Einstein	Science	Pioneers of Science	SPI014	Standard	Fusion	08 May 2020	5	35	7.0	Relatively Incredible	(Draw)YourSciencecards in hand gain +35 Power this turn.	
https://cuecards.fandom.com/wiki/Alpha_Centauri	Alpha Centauri	Space	Exploring the Stars	SST017	Limited	Legendary	09 Aug 2020	4	36	9.0	Everybody Needs Good Neighbours	(Play)YourThe Solar Systemcards in hand gain +30 Power this turn.	
https://cuecards.fandom.com/wiki/Anurognathus	Anurognathus	Paleontology	Fearsome Flyers	PFF030	Limited	Rare	30 Jan 2023	3	16	5.33	Tiny Terrors	(Draw)YourPaleontologycards, wherever they are, with 3 or less BaseEnergygain +15 Power this round.	
https://cuecards.fandom.com/wiki/Aesculapius	Aesculapius	History	The Roman Empire	ERO056	Limited	Epic	11 Mar 2023	6	56	9.33	Symbol of Medicine	"(Play)If played between two cards with ""Snake"" in the name, your Common and RareMarvellous Medicinecards, wherever they are, gain +18 Power permanently."	
https://cuecards.fandom.com/wiki/Amleth	Amleth	Arts & Culture	Arts & Culture Special Fusions	ACFU019	Standard	Fusion	N/A	6	57	N/A	Direct Inspiration	(Play)YourFiction and Fantasycards in hand gain+15Power until played and if played next toPrince Hamlet, yourPrince Hamletcard in hand gains+60Power this turn.	
https://cuecards.fandom.com/wiki/Anchiornis	Anchiornis	Paleontology	Fearsome Flyers	PFF018	Limited	Rare	01 Nov 2020	2	22	11.0	Anchi-Panky	(Play)YourAnchisauruscard in hand gains +36 Power this turn.	
https://cuecards.fandom.com/wiki/Angel_Falls	Angel Falls	Science	Natural Monuments	SMO025	Limited	Legendary	02 Mar 2022	7	45	6.43	Of the Deepest Place	(Draw)Your cards, wherever they are, with 2 or less BaseEnergygain +21 Power this round.	
https://cuecards.fandom.com/wiki/Alligator_Snapping_Turtle	Alligator Snapping Turtle	Life on Land	Reptiles	LRE007	Limited	Rare	07 Mar 2020	4	14	3.5	Turtle Power!	(Play)YourReptilescards in hand gain +20 Power this turn.	
https://cuecards.fandom.com/wiki/Alan_Turing	Alan Turing	Science	Pioneers of Science	SPI008	Standard	Common	19 Apr 2020	5	47	9.4	N/A	N/A	
https://cuecards.fandom.com/wiki/Ali_Baba_and_the_Forty_Thieves	Ali Baba and the Forty Thieves	Arts & Culture	Once Upon A Time	ACOU013	Standard	Legendary	16 Jun 2023	6	60	10.0	Open Sesame	(Play)Your opponent's cards in hand lose -8 Power this turn and this card gains +40 Power.	
https://cuecards.fandom.com/wiki/A_Visit_from_St._Nicholas	A Visit from St. Nicholas	Arts & Culture	Festive Traditions	ACFE057	N/A	Rare	21 Dec 2023	N/A	37	N/A	Twas the Night Before Christmas	(Draw)If it's the first turn of a round, gain+20Power Per Turn this round.	
https://cuecards.fandom.com/wiki/Amedeo_Avogadro	Amedeo Avogadro	Science	Pioneers of Science	SPI044	Standard	Rare	24 Jun 2023	5	21	4.2	Rock Me Amadeo	(Play)If played next to anyUnder the Microscopecard, yourSciencecards in hand gain +20 Power for 2 turns.	
https://cuecards.fandom.com/wiki/Air_Element	Air Element	Arts & Culture	The Occult	ACTO010	Limited	Rare	27 Jul 2022	4	40	10.0	Intelligence and Soul	(Play)If your deck has 2 or more Classical Element cards, yourSpacecards, wherever they are, gain +10 Power for 2 turns.(Return)Your Gemini,LibraandAquariuscards, wherever they are, gain +22 Power this round.	
https://cuecards.fandom.com/wiki/100m_Sprint	100m Sprint	Arts & Culture	Good Sports	ACSP026	Limited	Legendary	01 Aug 2021	1	10	10.0	Ten Seconds of Speed	(Play)If it's the first turn of a round, your cards, wherever they are, gain +10 Power for 2 turns.	
https://cuecards.fandom.com/wiki/Amber_Phantom_Butterfly	Amber Phantom Butterfly	Life on Land	Beautiful Butterflies	LBB006	Standard	Rare	18 May 2020	4	36	9.0	The Phantom Menace	(Return)If this card matches the Arena, Steal 2 Energy from your opponent.	
https://cuecards.fandom.com/wiki/Aesop	Aesop	History	Ancient Greece	EAG035	Limited	Legendary	06 Aug 2023	6	56	9.33	Fabulist	(Play)If you have played at least 3Life on Landcards this game, yourArts & Culturecards, wherever they are, gain +18 Power until played.	
https://cuecards.fandom.com/wiki/Albertosaurus	Albertosaurus	Paleontology	Carnivores	PCA002	Standard	Common	28 Nov 2019	8	72	9.0	N/A	N/A	
https://cuecards.fandom.com/wiki/Amazon_Sloth	Amazon Sloth	Life on Land	Mammals	LMA004	Standard	Common	22 Dec 2019	1	80	80.0	Low Metabolism	(Return)Lose -1:energy/turn: permanently.	
